Time (UTC),Forecasted Load,Actual Load
2024-01-02 01:30:00+00:00,40500.64,36938.76
2024-01-02 01:45:00+00:00,40652.54,36799.43
2024-01-02 02:00:00+00:00,40795.52,36951.09
2024-01-02 02:15:00+00:00,40897.78,37015.29
2024-01-02 02:30:00+00:00,40971.01,37421.21
2024-01-02 02:45:00+00:00,41243.51,38046.32
2024-01-02 03:00:00+00:00,41938.34,38821.79
2024-01-02 03:15:00+00:00,42314.86,39108.63
2024-01-02 03:30:00+00:00,42923.9,39632.57
2024-01-02 03:45:00+00:00,43545.03,40084.67
2024-01-02 04:00:00+00:00,44590.29,41162.66
2024-01-02 04:15:00+00:00,45421.76,41606.55
2024-01-02 04:30:00+00:00,46552.51,42870.66
2024-01-02 04:45:00+00:00,47980.89,44174.79
2024-01-02 05:00:00+00:00,50419.75,46016.59
2024-01-02 05:15:00+00:00,52206.72,47111.65
2024-01-02 05:30:00+00:00,53283.16,48098.07
2024-01-02 05:45:00+00:00,54468.32,49677.29
2024-01-02 06:00:00+00:00,55939.19,50986.59
2024-01-02 06:15:00+00:00,56893.19,52036.79
2024-01-02 06:30:00+00:00,58068.46,52993.2
2024-01-02 06:45:00+00:00,58610.61,54242.48
2024-01-02 07:00:00+00:00,59195.45,55091.91
2024-01-02 07:15:00+00:00,59644.29,55931.09
2024-01-02 07:30:00+00:00,60292.69,56292.51
2024-01-02 07:45:00+00:00,60411.16,56874.37
2024-01-02 08:00:00+00:00,60590.94,57140.49
2024-01-02 08:15:00+00:00,61072.22,57770.63
2024-01-02 08:30:00+00:00,61596.85,58188.63
2024-01-02 08:45:00+00:00,61748.5,58625.74
2024-01-02 09:00:00+00:00,61825.52,58928.76
2024-01-02 09:15:00+00:00,61819.38,59344.32
2024-01-02 09:30:00+00:00,61813.68,59659.28
2024-01-02 09:45:00+00:00,61940.69,60105.81
2024-01-02 10:00:00+00:00,62240.0,60501.47
2024-01-02 10:15:00+00:00,62473.67,60785.95
2024-01-02 10:30:00+00:00,62462.61,61232.92
2024-01-02 10:45:00+00:00,62400.21,61197.54
2024-01-02 11:00:00+00:00,62268.91,61305.75
2024-01-02 11:15:00+00:00,62070.28,61256.27
2024-01-02 11:30:00+00:00,62077.48,61308.16
2024-01-02 11:45:00+00:00,61997.71,61208.52
2024-01-02 12:00:00+00:00,61848.31,61215.46
2024-01-02 12:15:00+00:00,61753.2,60775.94
2024-01-02 12:30:00+00:00,61228.57,60477.13
2024-01-02 12:45:00+00:00,60817.18,59959.5
2024-01-02 13:00:00+00:00,60388.44,59647.34
2024-01-02 13:15:00+00:00,60188.57,59829.64
2024-01-02 13:30:00+00:00,60178.94,59819.16
2024-01-02 13:45:00+00:00,59745.42,59523.84
2024-01-02 14:00:00+00:00,60084.77,59927.05
2024-01-02 14:15:00+00:00,59908.89,60152.64
2024-01-02 14:30:00+00:00,59770.57,60116.98
2024-01-02 14:45:00+00:00,59551.39,60071.02
2024-01-02 15:00:00+00:00,59800.86,60720.84
2024-01-02 15:15:00+00:00,59810.93,61111.02
